character_name,book_id,book_name,cluster_label,prototype_name,avg_sentence_len,question_ratio,exclamation_ratio,slang_ratio,emotion_level,pca_x,pca_y
肩膀喃喃,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.79,0.0093,0.0012,0.0012,0.0105,-4.832409097997051,-0.004928960081787743
些不舍的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,25.67,0.0071,0.0021,0.0014,0.0021,-2.952408841604502,-0.004035395231234678
咳嗽一边,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,26.48,0.0099,0.0012,0.0025,0.0012,-2.1424089866636074,-0.004725393157501258
怜巴巴的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.4,0.0071,0.0026,0.0013,0.0058,-5.222408963928462,-0.003783977560555262
婉惊奇的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.56,0.0081,0.001,0.0061,0.0041,-10.06240871033291,-0.006056974989224525
醋溜溜的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,19.08,0.012,0.0037,0.0028,0.0,-9.542409419651147,-0.0032987136335014154
中自豪的,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,28.91,0.0058,0.0044,0.0015,0.0,0.28759094934611795,-0.001346426199621378
脸嚣张的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.21,0.0179,0.0157,0.0,0.0022,-6.412411886416166,0.009381000002102697
反常态的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.58,0.0127,0.0057,0.0013,0.0006,-5.042409872489355,-0.000603323568055817
脸不满的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.9,0.0034,0.0062,0.0014,0.0034,-6.722409035180561,-0.0006002919155267718
绝淡淡的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,25.25,0.0144,0.0046,0.0006,0.0,-3.3724098979346344,-0.0014174983475584366
气无力的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,27.91,0.0038,0.0038,0.0,0.0008,-0.7124087617523003,-0.0021642837948235016
在她耳边,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,29.0,0.0091,0.0,0.003,0.003,0.3775911887176946,-0.005518415124350073
晏婉冷声,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,16.83,0.0092,0.0092,0.0,0.0,-11.792409906644078,0.001723463481873501
好像是在,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,19.3,0.0083,0.0075,0.0058,0.0042,-9.322409699550779,0.0005533870060977081
她顽皮的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.76,0.0095,0.005,0.0013,0.0032,-4.862409506605935,-0.0013174317074729266
若雪淡淡,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,25.77,0.0037,0.011,0.0,0.0,-2.852409755350852,0.004681870508701778
无表情的,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,34.51,0.0031,0.0031,0.0005,0.0016,5.8875912869166065,-0.0018651962945504166
脸害羞的,d648dde186491555,御灵：开局觉灵圣翼天使,5,高冷型,41.8,0.0027,0.0009,0.0054,0.0,13.177591572040722,-0.002952937742983189
上龙的传,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,26.23,0.0072,0.0018,0.0018,0.0018,-2.3924088096813136,-0.004249619146800632
的脸低声,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,25.92,0.0058,0.0115,0.001,0.0019,-2.702410088796473,0.005338009979046928
战们齐声,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,32.25,0.0051,0.0051,0.0011,0.0,3.6275908634701857,-0.00017291438970184342
行镇定的,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,32.0,0.003,0.0015,0.0,0.0,3.3775916095977507,-0.003893354410984609
爱的耳朵,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,25.8,0.0043,0.0052,0.0043,0.0,-2.822408963108664,-0.0010293490705202066
住嘴小声,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,23.05,0.0108,0.0108,0.0,0.0,-5.572410405736566,0.004313932178784905
拳平淡的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,27.73,0.0015,0.0138,0.0046,0.0015,-0.8924100062006346,0.007800287676440743
骷髅喃喃,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,21.58,0.009,0.004,0.001,0.003,-7.042409268922455,-0.0026712670417547452
狐背冷声,d648dde186491555,御灵：开局觉灵圣翼天使,0,冰山型,29.18,0.0039,0.0117,0.0019,0.0006,0.5575900532277842,0.005943088619049096
影喃喃的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,22.19,0.0106,0.0079,0.0018,0.0009,-6.432409965466423,0.0013278907818206672
子恭敬的,d648dde186491555,御灵：开局觉灵圣翼天使,7,温柔型,24.78,0.0069,0.0034,0.0021,0.0027,-3.8424090111378817,-0.0028527507816778173
