book_id,book_name,cluster_label,pca_x,pca_y
bea07359e25cadde,00后已退休，开局拒绝清冷校花,4,-22.398064529739848,0.21956565683524798
086f0c6806b3e0c2,13路末班车,0,-11.917925231917156,0.03042809370859839
5f65a0116ec8dace,1910大帝国：开局就造反,1,37.27444119458211,-0.03533218780359662
5e83ce66df8af47c,1937，穿越东京做天皇,3,3.7531077773439065,0.014465419652549688
717095cd89b4a05b,1987：今夜不眠,7,12.306484303877149,0.2677595642191725
00d3da5d6f6a14cd,2052，沉眠三十载,3,-0.8489167514830029,0.02790816776448149
4d131d167a054112,3秒破案，你说我芙宁娜是傻子？,4,-13.749938528008315,0.12124071444132875
eee33d6da6ef8f2d,50个超真实罪案故事,7,19.25130486080461,0.06756816291841902
afbd6514deba1909,60分钟高效阅读：超实用的快速读书法,7,20.35725365630183,-0.2612230844207213
c29df8c3d32d9231,6岁的我制造机甲被曝光了,0,-7.1614534419114335,0.03986712492902425
50488b3c4f22256c,999种神级身份，花式吊打主角,0,-12.016711999854905,-0.09103346796094544
e8e893dba537f612,ag替补摆烂的我，首发后无敌了,0,-3.5760482848323036,-0.127831482945832
a40475fce8a53c9f,AKM：和队长恋爱后，我一打三,4,-12.845871348936416,0.023367955085414033
7b05eb3999481afc,Alpha死对头影帝他总想上位,7,23.522109669111373,-0.03906398257869595
4fd3cc38ce876501,CF降临：全球哭穷，我神器爆仓,2,126.34932902055799,0.2302834126330313
6e669b82c0ed39c8,FBI教你测谎术、阅人术、情报术大全集,3,7.878208428547481,-0.2547331973333038
ea6293f81d04cb7e,FORTEST,5,202.17191302836608,0.1718655523540387
e12534a7b5abfb33,Furry：拜托！请你不要放手,3,-1.3765782869859464,0.021986038093523896
2a09afb18311ff1c,GB：清冷师尊手撕修罗场,7,21.28984440116801,-0.1132557822054481
81584d2a0d378573,GB：白莲花娘子一心想种田！,7,18.730809176965863,0.10400094449778172
535b28ddf4bded25,GB：穿成人质，我拐走阴郁反派,1,28.113188265020213,-0.15635537928266122
8524ac0eed608357,HP之听姐姐的话,1,36.33459550658979,0.008593494650959765
bf07ec492831d9a3,HP之命运偏差,7,13.860880626466212,-0.08815125459994003
38cd70537a510e36,HP之怪力萝莉的团宠生活,3,8.846022178899126,-0.1504321092306605
3b6f4e1e65d4023d,HP命运转盘,7,17.44888401567942,-0.13517764886655245
99d8f2808a00bc38,HP和德拉科在霍格沃茨谈恋爱,3,4.5716371655598635,-0.04870166129747602
c600382ca638d95e,HP教授的狐狸女儿,0,-7.992333237691305,0.07016938747196422
dceff34ebd55a103,hp梅雨,3,5.3870579293897904,-0.06553244523336435
7f95cc09d54454b9,HP：东方留学生她只想种田,0,-6.88921361957928,0.03102640977818244
41ddf22ab4d90020,HP：那个马尔福家的大小姐,7,12.538163639943434,-0.029671436694070713
78d13cc5fbf13e19,HP：马尔福家二小姐,7,20.29173970598702,-0.07936448796172482
dd34cf4d90765ff1,JOJO们的不妙冒险,3,2.3150575478683137,0.14277364431078096
b3fb671f509e3882,JOJO：转变·复制,3,2.207193020257762,-0.14789550264228205
ed6954fd0e3e5459,overlord圣黑龙王,3,-1.6485834682213962,-0.04697823272426313
c8e3d6e33fe94834,SSS级御兽天赋，兽娘都抢疯了,3,4.645752949025166,-0.19754900628991665
d5f12cca5aeec029,S级alpha的专属猫薄荷,0,-12.300583860405538,0.027760353194533766
92278ee0b8bad2f4,《假千金是满级绿茶]》,1,26.58413711995408,-0.1658816502849262
660ab93d2c8ec21a,宝鉴,7,13.562813541625665,0.01771804288977369
040129f7f872c629,武动乾坤,1,27.27068970650629,-0.0732237807551159
ffb8dfb3b0ed37ec,百炼成仙,6,60.50150355876556,-0.03316174485005688
5709a4b87e2e0311,神藏,7,20.50985511957908,0.031756885571451815
daaa91841d49085f,穷人修仙传,7,11.766084854315679,-0.10786907875625193
42640e4b479eec21,《穿成渣A美神老婆总想钓我》,4,-13.625813381734957,0.06901610178508386
ca702ddf1cdf6cab,《肆意沦陷 》,3,-0.7849178414135523,-0.1009374712361096
