book_id,book_name,cluster_label,pca_x,pca_y
0cabbd380654c598,末日：我带着女神校花环游世界,7,-0.19516131307107093,0.0661484006113725
ec2574e84cba58d9,开局坑吴夑，竟被小哥拉去盗墓,3,0.08968430233674823,-0.08454576743725394
058912a60984b270,我儿明明是纨绔，咋成帝国之虎了,3,0.018613700952375994,-0.08168033546966783
0320671657619b5a,全贵族学院听我心声后，宠疯我,5,0.02328247790935046,-0.05502279077567686
2c135803b658199c,女扮男装后，我成了男寝的小团宠,7,-0.18586158763331778,0.09280074440701863
38072195c53929e1,黑莲花重生后，把全宗门祭天了,7,0.21272891817219713,0.16769932945786306
608b12c38b1ff23b,快穿：穿进虐文后宿主手撕全世界,1,0.05889819636271513,-0.08951403288351945
97090033a19f340e,失业后，被宝藏女孩捡回家,1,-0.09486741969758644,-0.03617645673587139
f9206f8e1f78cc42,诸天礼包：从一拳超人开始,7,-0.11585994725098785,0.2726190359736443
0c839abe0f3333e3,海上求生：我的木筏通桃源,7,-0.05152387756805307,0.0004136858960074763
94912b744f0f67a9,我和闺蜜带着金手指身穿古代,5,0.09828373116084392,-0.11609544848385632
c39f43d6ab9a2cbd,异世界漫游手册,4,-0.026701531170816743,-0.08886542921557639
75fd776242c2f327,新还珠格格之永燕篇,7,0.15377082586995633,-0.13861199511015512
703c349d653419d3,偷脸,1,0.10622425520425229,-0.06801087573743614
a471118cf59dad21,御舰飞仙：我在玄幻当舰修,1,0.07824975050823665,-0.052119941184867444
def6ebf7810b2df2,人在修仙界，我苟成了修仙大佬,7,-0.0815130365441107,0.0466784298452393
76377bc0b1941d54,摊上清冷仙子师尊怎么办？,7,0.43959306130232445,0.2679641955375903
aea484d841329b3a,狐妖：负我琴声，伴我长生,7,-0.1686116869829633,0.05348876245614261
9d1b5b5edbeb108a,我反派，不按剧情出牌，选择摆烂,5,-0.021466837253497885,0.033738513719502906
f8d59d4a72642cf4,全民：随机婚配，我能看见提示！,7,-0.1340047495362922,0.0006220146960434884
870ed377b94a3840,开局对弈失败，但没说要变魅魔啊,7,-0.29194967832238117,0.02998493991591109
34b6b4ae05d25735,摄政王的病娇娇是大佬,4,0.21260012891309035,-0.14350429484050167
8a6f2b1ee2fa6aa7,开局抽女帝，把把抽女帝,7,0.12048357897257991,-0.08894719405544411
